nohup: ignoring input
运行模式: train
项目目录: /root/autodl-tmp/MokioMind
日志文件: /root/autodl-tmp/MokioMind/logs/sft_train_20260905_125109.log
执行命令:
/root/autodl-tmp/MokioMind/.venv/bin/python3 /root/autodl-tmp/MokioMind/trainer/train_full_sft.py --data_path dataset/advertisegen/advertisegen_sft_train.jsonl --val_data_path dataset/advertisegen/advertisegen_sft_val.jsonl --from_weight pretrain --save_dir out --hidden_size 512 --num_hidden_layers 8 --max_seq_len 512 --epochs 1 --batch_size 8 --accumulation_steps 1 --learning_rate 1e-06 --dtype bfloat16 --num_workers 2 --smoke_max_new_tokens 128 --use_compile 0 --checkpoint_dir checkpoints/advertise_sft_ep1 --save_weight advertise_sft_ep1 --max_steps 0 --val_batches 0 --val_interval 0 --log_interval 50 --save_interval 500 --smoke_generate_samples 5
================================================================================
所加载Model可训练参数：25.830 百万
Epoch:[1/1] batch:4900/9819, optimizer_step:4900, loss:2.4190, grad_norm:2.5252, lr:0.00000055, elapsed:4.4min
Epoch:[1/1] batch:4950/9819, optimizer_step:4950, loss:2.4280, grad_norm:2.6076, lr:0.00000054, elapsed:4.4min
Epoch:[1/1] batch:5000/9819, optimizer_step:5000, loss:2.3245, grad_norm:2.5859, lr:0.00000054, elapsed:4.4min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:5050/9819, optimizer_step:5050, loss:2.6503, grad_norm:2.6954, lr:0.00000053, elapsed:4.5min
Epoch:[1/1] batch:5100/9819, optimizer_step:5100, loss:2.1728, grad_norm:2.4804, lr:0.00000052, elapsed:4.5min
Epoch:[1/1] batch:5150/9819, optimizer_step:5150, loss:2.6495, grad_norm:2.6132, lr:0.00000052, elapsed:4.6min
Epoch:[1/1] batch:5200/9819, optimizer_step:5200, loss:2.4298, grad_norm:2.3893, lr:0.00000051, elapsed:4.6min
Epoch:[1/1] batch:5250/9819, optimizer_step:5250, loss:2.4656, grad_norm:2.3707, lr:0.00000050, elapsed:4.7min
Epoch:[1/1] batch:5300/9819, optimizer_step:5300, loss:2.4336, grad_norm:2.4017, lr:0.00000049, elapsed:4.7min
Epoch:[1/1] batch:5350/9819, optimizer_step:5350, loss:2.6153, grad_norm:2.7891, lr:0.00000049, elapsed:4.8min
